City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,coihaique,-45.5752,-72.0662,48.0,95,88,4.7,CL,1619757774
1,punta arenas,-53.15,-70.9167,42.8,93,90,5.75,CL,1619757701
2,mataura,-46.1927,168.8643,53.01,72,24,10.0,NZ,1619757689
3,bengkulu,-3.8004,102.2655,81.64,78,98,5.66,ID,1619757722
4,cape town,-33.9258,18.4232,57.99,77,20,12.66,ZA,1619757496
5,port alfred,-33.5906,26.891,63.01,65,96,14.18,ZA,1619757776
6,new norfolk,-42.7826,147.0587,68.0,45,30,3.0,AU,1619757741
7,lahat,-3.8,103.5333,82.4,83,98,2.15,ID,1619757665
8,vaini,-21.2,-175.2,75.2,94,90,12.66,TO,1619757708
9,khatanga,71.9667,102.5,33.13,100,100,4.14,RU,1619757704
10,ponta do sol,32.6667,-17.1,55.99,73,47,1.99,PT,1619757718
11,cayenne,4.9333,-52.3333,78.01,100,75,4.43,GF,1619757752
12,lorengau,-2.0226,147.2712,83.62,74,98,4.0,PG,1619757705
13,arraial do cabo,-22.9661,-42.0278,72.25,67,27,8.46,BR,1619757698
14,bluff,-46.6,168.3333,53.01,72,33,10.0,NZ,1619757703
15,pisco,-13.7,-76.2167,64.99,88,0,2.3,PE,1619757716
16,busselton,-33.65,115.3333,62.01,75,45,3.0,AU,1619757703
17,atuona,-9.8,-139.0333,79.34,70,8,4.52,PF,1619757697
18,namibe,-15.1961,12.1522,73.31,79,86,2.84,AO,1619757779
19,provideniya,64.3833,-173.3,26.6,86,90,11.18,RU,1619757722
20,rikitea,-23.1203,-134.9692,77.34,71,91,11.95,PF,1619757699
21,hailar,49.2,119.7,44.83,29,100,7.65,CN,1619757780
22,tuktoyaktuk,69.4541,-133.0374,24.8,80,1,11.5,CA,1619757761
23,antofagasta,-23.65,-70.4,60.8,82,0,4.61,CL,1619757781
24,pasighat,28.0667,95.3333,97.11,21,20,5.12,IN,1619757781
25,aksarka,66.5606,67.7975,27.32,89,100,9.62,RU,1619757782
26,lata,40.1629,-8.3327,48.99,86,84,1.72,PT,1619757782
27,port elizabeth,-33.918,25.5701,55.4,94,0,10.36,ZA,1619757709
28,barrow,71.2906,-156.7887,19.4,86,90,5.75,US,1619757746
29,nioro,13.35,-15.75,74.19,39,32,3.27,GM,1619757783
30,georgetown,5.4112,100.3354,89.6,70,20,4.61,MY,1619757688
31,morgan city,29.6994,-91.2068,75.2,100,1,4.61,US,1619757700
32,matagami,49.7502,-77.6328,44.6,61,90,2.3,CA,1619757784
33,mahibadhoo,3.7833,72.9667,83.32,69,7,3.58,MV,1619757784
34,hermanus,-34.4187,19.2345,51.01,91,54,1.01,ZA,1619757697
35,tuatapere,-46.1333,167.6833,53.01,72,60,10.0,NZ,1619757785
36,gangarampur,25.4,88.5167,101.8,22,0,4.76,IN,1619757785
37,adrar,20.5022,-10.0711,74.75,38,9,9.55,MR,1619757750
38,barmer,25.75,71.3833,93.65,24,3,6.46,IN,1619757786
39,karakol,42.4907,78.3936,66.38,26,0,6.53,KG,1619757787
40,grindavik,63.8424,-22.4338,39.2,87,75,4.61,IS,1619757692
41,la ronge,55.1001,-105.2842,33.8,47,30,3.44,CA,1619757787
42,carnarvon,-24.8667,113.6333,80.6,50,100,17.27,AU,1619757701
43,avarua,-21.2078,-159.775,80.6,83,20,6.91,CK,1619757697
44,kapaa,22.0752,-159.319,75.2,69,1,13.8,US,1619757742
45,thompson,55.7435,-97.8558,24.8,68,40,7.43,CA,1619757729
46,bayan,46.0833,127.4,64.11,20,70,7.72,CN,1619757788
47,ushuaia,-54.8,-68.3,39.2,75,90,5.75,AR,1619757685
48,karratha,-20.7377,116.8463,93.79,23,0,10.0,AU,1619757789
49,souillac,-20.5167,57.5167,78.8,83,40,12.66,MU,1619757789
50,vigrestad,58.5667,5.7,39.0,75,0,8.05,NO,1619757791
51,bethel,41.3712,-73.414,66.0,91,100,7.92,US,1619757745
52,pokosnoye,55.5258,101.0536,44.82,66,96,12.41,RU,1619757767
53,uruzgan,32.8333,66.0,72.88,26,68,0.22,AF,1619757791
54,pitimbu,-7.4706,-34.8086,73.4,100,40,5.75,BR,1619757792
55,shenjiamen,29.9576,122.298,66.52,74,0,12.53,CN,1619757792
56,susangerd,31.5608,48.1831,80.6,29,0,2.3,IR,1619757793
57,isla mujeres,21.2311,-86.731,81.0,74,40,10.36,MX,1619757793
58,severo-kurilsk,50.6789,156.125,40.39,76,22,11.14,RU,1619757793
59,airai,-8.9266,125.4092,71.91,67,44,2.26,TL,1619757736
60,san quintin,30.4833,-115.95,62.33,79,0,6.42,MX,1619757794
61,kisanga,-7.4362,37.7034,73.56,91,100,2.77,TZ,1619757794
62,bredasdorp,-34.5322,20.0403,46.4,93,5,3.44,ZA,1619757695
63,praia da vitoria,38.7333,-27.0667,54.0,73,100,1.01,PT,1619757795
64,albany,42.6001,-73.9662,55.99,89,100,4.56,US,1619757478
65,lebu,-37.6167,-73.65,55.18,93,100,9.04,CL,1619757609
66,xiaoyi,34.6178,109.703,89.04,16,37,23.04,CN,1619757796
67,kupino,54.3663,77.2981,54.0,41,3,12.3,RU,1619757796
68,bambous virieux,-20.3428,57.7575,80.01,83,40,12.66,MU,1619757797
69,sioux lookout,50.1001,-91.917,35.6,51,75,8.05,CA,1619757797
70,jamestown,42.097,-79.2353,45.0,100,90,16.11,US,1619757445
71,meulaboh,4.1363,96.1285,84.15,71,78,7.16,ID,1619757713
72,victoria,22.2855,114.1577,82.4,57,20,8.05,HK,1619757756
73,inverness,57.4791,-4.224,37.4,93,40,2.3,GB,1619757798
74,beringovskiy,63.05,179.3167,28.56,81,41,6.73,RU,1619757770
75,hendrina,-26.1588,29.7153,51.01,80,72,1.01,ZA,1619757541
76,upernavik,72.7868,-56.1549,21.79,55,99,4.7,GL,1619757757
77,sept-iles,50.2001,-66.3821,44.01,81,75,3.44,CA,1619757799
78,champasak,14.75,106.0,89.6,58,20,11.5,LA,1619757799
79,mangai,-4.05,19.5333,69.06,98,100,0.34,CD,1619757800
80,east london,-33.0153,27.9116,63.61,71,100,13.85,ZA,1619757716
81,atambua,-9.1061,124.8925,82.8,65,25,3.47,ID,1619757801
82,castro,-24.7911,-50.0119,48.58,99,23,5.75,BR,1619757702
83,dikson,73.5069,80.5464,13.78,86,40,11.39,RU,1619757700
84,qaanaaq,77.484,-69.3632,25.02,60,100,10.33,GL,1619757687
85,unai,-16.3575,-46.9061,67.26,92,100,0.94,BR,1619757802
86,saint-augustin,51.226,-58.6502,39.04,86,100,5.12,CA,1619757802
87,yangjiang,21.85,111.9667,82.0,52,86,6.73,CN,1619757803
88,linqiong,30.4159,103.4609,82.0,47,0,4.47,CN,1619757803
89,flinders,-34.5833,150.8552,72.0,72,9,3.0,AU,1619757804
90,aklavik,68.2191,-135.0107,42.8,38,24,3.44,CA,1619757773
91,tiksi,71.6872,128.8694,32.76,84,83,4.21,RU,1619757686
92,saint-philippe,-21.3585,55.7679,77.0,78,45,9.22,RE,1619757690
93,kaitangata,-46.2817,169.8464,53.01,58,36,8.01,NZ,1619757804
94,ola,59.5833,151.2833,37.78,64,34,3.22,RU,1619757805
